dCoilTurns,dCoilOuter,dCoilInner,dShieldThickness,dShieldExtra,gCoilInterval,gCoilLength,gShieldThickness,gShieldExtra,mResRx,mResTx,mIndRx,mIndMutNormal,mIndTx,mIndMutMisaligned,eIndMutNormal,eIndMutMisaligned,eNormalK,eResEq,pDimension,pDimensionPenalty,pThickness,pThicknessPenalty,pNormalIndMutPenalty,pMisalignedIndMutPenalty,pNormalKPenalty,pResistancePenalty,目标函数
15,485,265,14,39,0.007857142857142856,0.1325,0.014,0.039,0.01987065211,0.01987035108,235914.770536805,-59153.3380892371,235913.476503232,-28684.7353807945,59.153338089237096,28.6847353807945,0.2507409781442785,0.01987050159442994,0.563,2.805547356200136e-10,0.0205,1.0949999999999804,0,2.86847353807945,1.1487261952515684,1.4223661093395223,-6.534565842951077
10,450,270,13,36,0.01,0.135,0.013,0.036,0.01274298212,0.01274285086,105466.584970197,-23123.3706783667,105470.960545537,-10574.6720792139,23.1233706783667,10.5746720792139,0.2192437636154897,0.012742916489830992,0.522,0.0005093129632910968,0.0195,1.1049999999999993,1.173114486280074,1.0541012151041111,1.1442513258260507,1.4302856483446322,-5.907261988518158
14,445,295,21,4,0.0057692307692307696,0.1475,0.021,0.004,0.01827366838,0.0182737616,213473.315014762,-40508.9267340206,213467.485346496,-19194.8663404971,40.5089267340206,19.1948663404971,0.1897636707642846,0.018273714989940557,0.453,1.4699997691284683,0.0275,1.0247536804943604,-5.8335090566749284e-201,1.91948663404971,1.1117597854997014,1.424140316677844,-6.950140185850085
11,425,265,14,24,0.008,0.1325,0.014,0.024,0.01341650843,0.01341621932,122846.491072218,-23630.5951099568,122855.689871768,-10221.2821137938,23.6305951099568,10.221282113793801,0.1923515292841872,0.013416363874221245,0.473,1.2698432888884976,0.0205,1.0949999999999804,1.1951930392277144,0.9213412177497128,1.1185035319682908,1.4295373734730874,-7.029418451307283
12,390,275,14.5,15,0.005227272727272727,0.1375,0.0145,0.015,0.01407770432,0.01407748384,152143.390617674,-23476.4027885277,152144.411457189,-9592.20513038961,23.4764027885277,9.59220513038961,0.154303936132701,0.014077594079568361,0.42000000000000004,1.7999999999952783,0.021,1.089999999999898,1.1903937756868836,0.015980544721366095,0.8002612593786774,1.428802673244924,-6.325438253027027
12,440,255,3.5,4,0.008409090909090908,0.1275,0.0035,0.004,0.01474512529,0.01474509766,128734.709182087,-23992.0850496413,128735.917638763,-10462.5493542237,23.9920850496413,10.4625493542237,0.18636755070782843,0.014745111474993527,0.448,1.5199999549107974,0.01,1.2,1.1999433415076517,1.0361023572925,1.1001774761968077,1.4280609872500072,-7.484284117157764
11,440,270,7.5,14,0.0085,0.135,0.0075,0.014,0.01380793862,0.01380767462,121050.841325711,-23396.7690971937,121063.249890644,-10406.4224880696,23.3967690971937,10.4064224880696,0.1932706106478849,0.013807806619369053,0.468,1.319969232703649,0.013999999999999999,1.16,1.1872636330366024,1.0230696989919488,1.1205499664714778,1.42910243708959,-7.239954968293267
12,405,275,17.5,21,0.005909090909090909,0.1375,0.0175,0.021,0.01440148681,0.01440140484,153738.788936873,-26458.4573065406,153722.989183989,-11176.7289379831,26.458457306540602,11.1767289379831,0.17210892035545472,0.01440144582494168,0.447,1.5299999674796225,0.024,1.059999997815177,0.3754297934426227,1.1176642273229576,1.0023479477089472,1.428442837972287,-6.513884771741614
14,440,235,12,39,0.007884615384615386,0.1175,0.012,0.039,0.01670272497,0.01670289812,180195.701107513,-39413.3887673949,180185.960923821,-17017.4092945363,39.4133887673949,17.0174092945363,0.21873137805976042,0.01670281154477563,0.518,0.002027550988440504,0.0185,1.115,-1.1622399559015427e-174,1.70174092945363,1.1440804338410482,1.4258857649502492,-5.388734679233368
15,425,265,15,15,0.005714285714285714,0.1325,0.015,0.015,0.01825985676,0.01826036048,225178.196566762,-41896.0613055022,225186.646260957,-18149.4332384808,41.896061305502194,18.1494332384808,0.1860538715669813,0.01826010861826306,0.45499999999999996,1.4499995564417714,0.0215,1.0849999999994624,-7.276705790888226e-237,1.8149433238480799,1.098921094674983,1.4241554348685965,-6.873019409832894
